Date ,Open ,High ,Low ,Close ,Adj Close ,Volume 
13-Feb-25,4000.00,4030.00,3960.00,3990.00,3771.18,341640600
14-Feb-25,4000.00,4010.00,3850.00,3860.00,3648.31,524909600
17-Feb-25,3870.00,4030.00,3870.00,4030.00,3808.99,265737100
18-Feb-25,4030.00,4180.00,4030.00,4150.00,3922.41,374350700
19-Feb-25,4160.00,4180.00,4010.00,4020.00,3799.53,348358600
20-Feb-25,3970.00,4020.00,3910.00,3910.00,3695.57,312753300
21-Feb-25,3910.00,3930.00,3870.00,3890.00,3676.66,205268800
24-Feb-25,3900.00,3940.00,3870.00,3920.00,3705.02,138610800
25-Feb-25,3880.00,3920.00,3800.00,3800.00,3591.60,404555100
26-Feb-25,3800.00,3860.00,3760.00,3820.00,3610.50,242834100
27-Feb-25,3790.00,3800.00,3610.00,3630.00,3430.92,410928000
28-Feb-25,3500.00,3540.00,3360.00,3360.00,3175.73,1000597600
3-Mar-25,3520.00,3740.00,3470.00,3670.00,3468.73,744626800
4-Mar-25,3680.00,3720.00,3600.00,3670.00,3468.73,338434700
5-Mar-25,3710.00,3900.00,3710.00,3840.00,3629.41,441151000
6-Mar-25,3870.00,3990.00,3870.00,3950.00,3733.37,434485100
7-Mar-25,3930.00,3930.00,3810.00,3810.00,3601.05,243793600
10-Mar-25,3790.00,3810.00,3730.00,3760.00,3553.79,232192200
11-Mar-25,3700.00,3790.00,3660.00,3790.00,3582.15,273961800
12-Mar-25,3810.00,3920.00,3810.00,3890.00,3676.66,271631200
13-Mar-25,3960.00,3970.00,3800.00,3800.00,3591.60,209225700
14-Mar-25,3750.00,3840.00,3750.00,3750.00,3544.34,156131900
17-Mar-25,3780.00,3840.00,3730.00,3830.00,3619.95,162467700
18-Mar-25,3840.00,3860.00,3500.00,3680.00,3478.18,416894600
19-Mar-25,3710.00,3780.00,3680.00,3710.00,3506.54,352217700
20-Mar-25,3730.00,3760.00,3640.00,3660.00,3459.28,313033000
21-Mar-25,3600.00,3700.00,3550.00,3700.00,3497.08,627645600
24-Mar-25,3650.00,3740.00,3520.00,3610.00,3412.02,342883200
25-Mar-25,3660.00,3840.00,3660.00,3800.00,3591.60,331285900
26-Mar-25,3870.00,4020.00,3860.00,4000.00,3780.63,540888800
